id,name,state_id,created_at,updated_at
866,Raurkela,476,null,null
867,QuAcbec,77,null,null
868,PoznaA,569,null,null
869,Colorado Springs,120,null,null
870,Port Said,570,null,null
871,NAnded,4,null,null
872,Bannu,185,null,null
873,Southend-on-Sea,571,null,null
874,Dresden,572,null,null
875,Wiesbaden,116,null,null
876,Charleston,573,null,null
877,Changping,16,null,null
878,Palu,574,null,null
879,Taizhou,76,null,null
880,Xingtai,142,null,null
881,Samsun,575,null,null
882,Luxor,576,null,null
883,Belgaum,35,null,null
884,Pontianak,577,null,null
885,YaroslavlaE,578,null,null
886,Constantine,579,null,null
887,Banjarmasin,580,null,null
888,Grand Rapids,84,null,null
889,Kirkuk,581,null,null
890,SAngli,4,null,null
891,Mission Viejo,9,null,null
892,SAhAj,583,null,null
893,Al ManAYArah,584,null,null
894,Canoas,69,null,null
895,Barnaul,585,null,null
896,ZAhedAn,586,null,null
897,JalAlAbAd,587,null,null
898,Albany,2,null,null
899,Chiclayo,588,null,null
900,Hermosillo,589,null,null
901,ChAnda,4,null,null
902,Al aillah,590,null,null
903,Rasht,591,null,null
904,Nagano,592,null,null
905,Vinh,593,null,null
906,Abeokuta,594,null,null
907,Kayseri,595,null,null
908,Samarinda,596,null,null
909,Ajmer,114,null,null
910,Dortmund,196,null,null
911,Vladivostok,597,null,null
912,Irkutsk,598,null,null
913,Knoxville,312,null,null
914,Blantyre,599,null,null
915,Baton Rouge,323,null,null
916,Anqing,175,null,null
917,Cuttack,476,null,null
918,HachiAçji,1,null,null
919,Khabarovsk,600,null,null
920,Veracruz,601,null,null
921,Kisangani,602,null,null
922,KermAn,603,null,null
923,OrAmAyeh,604,null,null
924,BAkaner,114,null,null
925,Quetzaltenango,605,null,null
926,Bakersfield,9,null,null
927,Ogden,304,null,null
928,Shihezi,161,null,null
929,Kuching,606,null,null
930,Shuozhou,115,null,null
931,Niigata,607,null,null
932,Pereira,608,null,null
933,New Haven,446,null,null
934,BouakAc,609,null,null
935,Columbia,573,null,null
936,Akron,197,null,null
937,Binjai,164,null,null
938,UberlAcndia,44,null,null
939,Sorocaba,5,null,null
940,Wusong,175,null,null
941,Weihai,104,null,null
942,Mar del Plata,544,null,null
943,Santiago de Cuba,610,null,null
944,Siping,97,null,null
945,Kagoshima,611,null,null
946,Surakarta,248,null,null
947,Makhachkala,612,null,null
948,BhAvnagar,46,null,null
949,Uyo,613,null,null
950,Bristol,614,null,null
951,Bahawalpur,37,null,null
952,Kenitra,199,null,null
953,RibeirAEo PrAto,5,null,null
954,Kanazawa,615,null,null
955,Orenburg,616,null,null
956,MA≠laga,274,null,null
957,TabAk,617,null,null
958,Puerto La Cruz,582,null,null
959,Jiujiang,146,null,null
960,Hisar,249,null,null
961,Kashgar,161,null,null
962,Matola,237,null,null
963,BilAspur,305,null,null
964,Sargodha,37,null,null
965,Leipzig,572,null,null
966,Tinnevelly,33,null,null
967,CancAn,618,null,null
968,Yangzhou,76,null,null
969,Novokuznetsk,619,null,null
970,Latakia,620,null,null
971,Heroica Matamoros,472,null,null
972,GAteborg,621,null,null
973,ACEtsu,622,null,null
974,Tomsk,623,null,null
